fecha_analisis,fixture_id,partido,competicion,mercado,lado,odds,modelo_prob,implied_prob,edge,ev_pct,metodo,categoria,alcance,resultado
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",1X2 -> Aldosivi gana,,5.75,0.1555,0.1652,-0.0096,-0.1058,v3.2-cal,1X2,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",1X2 -> Empate,,3.25,0.3644,0.2922,0.0722,0.1842,v3.2-cal,1X2,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",1X2 -> Racing Club gana,,1.75,0.4801,0.5426,-0.0625,-0.1598,v3.2-cal,1X2,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",DC -> Aldosivi o Empate (1X),,2.00,0.5199,0.2348,0.2850,0.0397,v3.2-cal,Doble Oportunidad,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",DC -> Aldosivi o Racing Club (12),,1.33,0.6356,0.3531,0.2825,-0.1546,v3.2-cal,Doble Oportunidad,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",DC -> Empate o Racing Club (X2),,1.14,0.8445,0.4120,0.4325,-0.0373,v3.2-cal,Doble Oportunidad,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",BTTS,Over/Si,2.50,0.2107,0.3750,-0.1643,-0.4732,v3.2-cal,BTTS,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",BTTS,Under/No,1.50,0.7893,0.6250,0.1643,0.1839,v3.2-cal,BTTS,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 0.5,Over/Si,1.12,0.7634,0.8427,-0.0793,-0.1449,v3.2-cal,Goles,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 0.5,Under/No,6.00,0.2366,0.1573,0.0793,0.4194,v3.2-cal,Goles,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 1.5,Over/Si,1.57,0.4696,0.5890,-0.1194,-0.2628,v3.2-cal,Goles,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 1.5,Under/No,2.25,0.5304,0.4110,0.1194,0.1935,v3.2-cal,Goles,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 2.5,Over/Si,2.70,0.1429,0.3478,-0.2050,-0.6143,v3.2-cal,Goles,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 2.5,Under/No,1.44,0.8571,0.6522,0.2050,0.2343,v3.2-cal,Goles,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 3.5,Over/Si,6.00,0.0610,0.1573,-0.0963,-0.6341,v3.2-cal,Goles,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 3.5,Under/No,1.12,0.9390,0.8427,0.0963,0.0517,v3.2-cal,Goles,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 4.5,Over/Si,15.00,0.0000,0.0643,-0.0643,-1.0000,v3.2-cal,Goles,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 4.5,Under/No,1.03,1.0000,0.9357,0.0643,0.0300,v3.2-cal,Goles,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Aldosivi O/U 0.5,Over/Si,2.00,0.3704,0.4638,-0.0934,-0.2593,v3.2-cal,Goles,Local,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Aldosivi O/U 0.5,Under/No,1.73,0.6296,0.5362,0.0934,0.0893,v3.2-cal,Goles,Local,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Aldosivi O/U 1.5,Over/Si,6.50,0.1000,0.1459,-0.0459,-0.3500,v3.2-cal,Goles,Local,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Aldosivi O/U 1.5,Under/No,1.11,0.9000,0.8541,0.0459,-0.0010,v3.2-cal,Goles,Local,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Aldosivi O/U 2.5,Over/Si,23.00,0.0000,0.0421,-0.0421,-1.0000,v3.2-cal,Goles,Local,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Aldosivi O/U 2.5,Under/No,1.01,1.0000,0.9579,0.0421,0.0100,v3.2-cal,Goles,Local,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Racing Club O/U 0.5,Over/Si,1.25,0.7028,0.7500,-0.0472,-0.1215,v3.2-cal,Goles,Visitante,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Racing Club O/U 0.5,Under/No,3.75,0.2972,0.2500,0.0472,0.1144,v3.2-cal,Goles,Visitante,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Racing Club O/U 1.5,Over/Si,2.25,0.2881,0.4110,-0.1229,-0.3517,v3.2-cal,Goles,Visitante,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Racing Club O/U 1.5,Under/No,1.57,0.7119,0.5890,0.1229,0.1176,v3.2-cal,Goles,Visitante,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Racing Club O/U 2.5,Over/Si,5.50,0.1707,0.1717,-0.0010,-0.0610,v3.2-cal,Goles,Visitante,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Racing Club O/U 2.5,Under/No,1.14,0.8293,0.8283,0.0010,-0.0546,v3.2-cal,Goles,Visitante,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 11.5,Over/Si,,0.9808,,,,v3.2-cal,Tiros,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 11.5,Under/No,,0.0196,,,,v3.2-cal,Tiros,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 12.5,Over/Si,,0.9444,,,,v3.2-cal,Tiros,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 12.5,Under/No,,0.0588,,,,v3.2-cal,Tiros,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 13.5,Over/Si,,0.8760,,,,v3.2-cal,Tiros,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 13.5,Under/No,,0.1250,,,,v3.2-cal,Tiros,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 14.5,Over/Si,,0.8696,,,,v3.2-cal,Tiros,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 14.5,Under/No,,0.1304,,,,v3.2-cal,Tiros,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 15.5,Over/Si,,0.8362,,,,v3.2-cal,Tiros,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 15.5,Under/No,,0.1638,,,,v3.2-cal,Tiros,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 16.5,Over/Si,,0.7163,,,,v3.2-cal,Tiros,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 16.5,Under/No,,0.2837,,,,v3.2-cal,Tiros,Total,L
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 17.5,Over/Si,,0.6629,,,,v3.2-cal,Tiros,Total,W
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 17.5,Under/No,,0.3364,,,,v3.2-cal,Tiros,Total,L
