fecha_analisis,fixture_id,partido,competicion,mercado,lado,odds,modelo_prob,implied_prob,edge,ev_pct,metodo,categoria,alcance,resultado,odds_close,clv_pct,fecha_cierre,odds_close_est,clv_pct_est,clv_method
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",DC -> Aldosivi o Empate (1X),,2.00,0.5199,0.4696,0.0503,0.0397,v3.2-cal,Doble Oportunidad,Total,W,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros Racing Club O/U 11.5,Under/No,1.91,0.7113,0.4853,0.2260,0.3579,v3.2-cal,Tiros,Visitante,L,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 2.5,Under/No,1.44,0.8571,0.6522,0.2050,0.2343,v3.2-cal,Goles,Total,W,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tarjetas tot. O/U 5.5,Over/Si,2.00,0.6667,0.4638,0.2029,0.3333,v3.2-cal,Tarjetas,Total,W,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Tiros tot. O/U 22.5,Under/No,1.80,0.7163,0.5147,0.2016,0.2894,v3.2-cal,Tiros,Total,L,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",BTTS,Under/No,1.50,0.7893,0.6250,0.1643,0.1839,v3.2-cal,BTTS,Total,L,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Corners Aldosivi O/U 3.5,Over/Si,1.80,0.6667,0.5148,0.1518,0.2000,v3.2-cal,Corners,Local,L,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Arco tot. O/U 7.5,Under/No,1.91,0.6364,0.4852,0.1512,0.2155,v3.2-cal,Arco,Total,L,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Arco Racing Club O/U 4.5,Under/No,1.61,0.7263,0.5767,0.1496,0.1730,v3.2-cal,Arco,Visitante,W,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles Racing Club O/U 1.5,Under/No,1.57,0.7119,0.5890,0.1229,0.1176,v3.2-cal,Goles,Visitante,W,,,,,,
2026-04-18 23:56,1492028,Aldosivi vs Racing Club,"('Liga Profesional', False)",Goles tot. O/U 1.5,Under/No,2.25,0.5304,0.4110,0.1194,0.1935,v3.2-cal,Goles,Total,L,,,,,,
