fecha_analisis,fixture_id,partido,competicion,mercado,lado,odds,modelo_prob,implied_prob,edge,ev_pct,metodo,categoria,alcance,resultado,odds_close,clv_pct,fecha_cierre,odds_close_est,clv_pct_est,clv_method
2026-04-23 23:12,1492046,Deportivo Riestra vs Independiente,"('Liga Profesional', False)",BTTS,Over/Si,2.50,0.4694,0.3750,0.0944,0.1734,v3.6,BTTS,Total,L,,,,,,
2026-04-23 23:12,1492047,Estudiantes L.P. vs Talleres Cordoba,"('Liga Profesional', False)",Goles tot. O/U 2.5,Over/Si,2.70,0.4775,0.3478,0.1297,0.2893,v3.6,Goles,Total,L,2.60,+3.85,2026-04-25 19:44,,,exact
2026-04-23 23:12,1492047,Estudiantes L.P. vs Talleres Cordoba,"('Liga Profesional', False)",Goles tot. O/U 1.5,Over/Si,1.53,0.7324,0.6087,0.1237,0.1205,v3.6,Goles,Total,L,1.50,+2.00,2026-04-25 19:44,,,exact
2026-04-23 23:12,1492047,Estudiantes L.P. vs Talleres Cordoba,"('Liga Profesional', False)",Goles Talleres Cordoba O/U 1.5,Over/Si,4.00,0.3672,0.2337,0.1335,0.4688,v3.6,Goles,Visitante,L,4.33,-7.62,2026-04-25 19:44,,,exact
2026-04-23 23:12,1492047,Estudiantes L.P. vs Talleres Cordoba,"('Liga Profesional', False)",Goles Talleres Cordoba O/U 0.5,Over/Si,1.57,0.7216,0.5890,0.1326,0.1328,v3.6,Goles,Visitante,L,1.67,-5.99,2026-04-25 19:44,,,exact
2026-04-23 23:12,1492047,Estudiantes L.P. vs Talleres Cordoba,"('Liga Profesional', False)",BTTS,Over/Si,2.20,0.5440,0.4241,0.1199,0.1969,v3.6,BTTS,Total,L,2.20,+0.00,2026-04-25 19:44,,,exact
2026-04-23 23:12,1492048,Estudiantes de Rio Cuarto vs Rosario Central,"('Liga Profesional', False)",BTTS,Over/Si,2.20,0.5125,0.4241,0.0884,0.1275,v3.6,BTTS,Total,W,,,,,,
2026-04-23 23:12,1492051,Lanus vs Central Cordoba de Santiago,"('Liga Profesional', False)",Goles Central Cordoba de Santiago O/U 0.5,Over/Si,2.00,0.6384,0.4638,0.1746,0.2768,v3.6,Goles,Visitante,L,,,,,,
2026-04-23 23:12,1492051,Lanus vs Central Cordoba de Santiago,"('Liga Profesional', False)",Goles Central Cordoba de Santiago O/U 1.5,Over/Si,6.50,0.2712,0.1459,0.1254,0.7631,v3.6,Goles,Visitante,L,,,,,,
2026-04-23 23:12,1492051,Lanus vs Central Cordoba de Santiago,"('Liga Profesional', False)",BTTS,Over/Si,2.38,0.4571,0.3913,0.0658,0.0878,v3.6,BTTS,Total,L,,,,,,
2026-04-23 23:13,1492053,Platense vs San Lorenzo,"('Liga Profesional', False)",Goles San Lorenzo O/U 0.5,Over/Si,1.67,0.6907,0.5570,0.1336,0.1534,v3.6,Goles,Visitante,W,1.67,+0.00,2026-04-25 00:14,,,exact
2026-04-23 23:13,1492053,Platense vs San Lorenzo,"('Liga Profesional', False)",Goles San Lorenzo O/U 1.5,Over/Si,4.33,0.3240,0.2170,0.1070,0.4031,v3.6,Goles,Visitante,L,4.33,+0.00,2026-04-25 00:14,,,exact
2026-04-23 23:13,1492053,Platense vs San Lorenzo,"('Liga Profesional', False)",BTTS,Over/Si,2.50,0.4662,0.3750,0.0912,0.1656,v3.6,BTTS,Total,L,2.50,+0.00,2026-04-25 00:14,,,exact
2026-04-23 23:13,1492054,Racing Club vs Barracas Central,"('Liga Profesional', False)",Goles Barracas Central O/U 0.5,Over/Si,2.10,0.7068,0.4430,0.2639,0.4844,v3.6,Goles,Visitante,W,2.10,+0.00,2026-04-25 00:14,,,exact
2026-04-23 23:13,1492054,Racing Club vs Barracas Central,"('Liga Profesional', False)",Goles Barracas Central O/U 1.5,Over/Si,8.00,0.3510,0.1189,0.2320,1.8079,v3.6,Goles,Visitante,L,8.00,+0.00,2026-04-25 00:14,,,exact
2026-04-23 23:13,1492054,Racing Club vs Barracas Central,"('Liga Profesional', False)",BTTS,Over/Si,2.50,0.5137,0.3750,0.1387,0.2842,v3.6,BTTS,Total,W,2.50,+0.00,2026-04-25 00:14,,,exact
2026-04-23 23:13,1492056,Sarmiento Junin vs Tigre,"('Liga Profesional', False)",BTTS,Over/Si,2.38,0.4704,0.3913,0.0791,0.1196,v3.6,BTTS,Total,L,2.38,+0.00,2026-04-25 21:59,,,exact
2026-04-23 23:13,1391131,Real Betis vs Real Madrid,"('La Liga', False)",Goles Real Madrid O/U 1.5,Under/No,2.10,0.6647,0.4430,0.2218,0.3960,v3.6,Goles,Visitante,W,,,,,,
2026-04-23 23:13,1391131,Real Betis vs Real Madrid,"('La Liga', False)",Goles Real Madrid O/U 2.5,Under/No,1.36,0.8826,0.6881,0.1945,0.2003,v3.6,Goles,Visitante,W,,,,,,
2026-04-23 23:13,1391131,Real Betis vs Real Madrid,"('La Liga', False)",Goles Real Madrid O/U 0.5,Under/No,6.00,0.3034,0.1573,0.1461,0.8202,v3.6,Goles,Visitante,L,,,,,,
2026-04-23 23:13,1391131,Real Betis vs Real Madrid,"('La Liga', False)",BTTS,Under/No,2.38,0.4460,0.3913,0.0547,0.0615,v3.6,BTTS,Total,L,,,,,,
2026-04-23 23:14,1391133,Getafe vs Barcelona,"('La Liga', False)",Goles Barcelona O/U 1.5,Under/No,2.00,0.6974,0.4638,0.2336,0.3948,v3.6,Goles,Visitante,L,1.91,+4.71,2026-04-25 13:59,,,exact
2026-04-23 23:14,1391133,Getafe vs Barcelona,"('La Liga', False)",Goles Barcelona O/U 2.5,Under/No,1.33,0.9007,0.7096,0.1911,0.1980,v3.6,Goles,Visitante,W,1.28,+3.91,2026-04-25 13:59,,,exact
2026-04-23 23:14,1391133,Getafe vs Barcelona,"('La Liga', False)",Goles Barcelona O/U 0.5,Under/No,5.50,0.3306,0.1717,0.1589,0.8182,v3.6,Goles,Visitante,L,5.50,+0.00,2026-04-25 13:59,,,exact
2026-04-23 23:15,1379306,Sunderland vs Nottingham Forest,"('Premier League', False)",BTTS,Over/Si,1.91,0.5466,0.5000,0.0466,0.0439,v3.6,BTTS,Total,L,,,,,,
2026-04-23 23:15,1379303,Fulham vs Aston Villa,"('Premier League', False)",Goles Aston Villa O/U 1.5,Under/No,1.67,0.6895,0.5570,0.1325,0.1514,v3.6,Goles,Visitante,W,1.62,+3.09,2026-04-25 11:21,,,exact
2026-04-23 23:15,1379303,Fulham vs Aston Villa,"('Premier League', False)",Goles Aston Villa O/U 2.5,Under/No,1.18,0.8937,0.7923,0.1015,0.0546,v3.6,Goles,Visitante,W,1.17,+0.85,2026-04-25 11:21,,,exact
2026-04-23 23:15,1379303,Fulham vs Aston Villa,"('Premier League', False)",BTTS,Under/No,2.20,0.4781,0.4241,0.0541,0.0519,v3.6,BTTS,Total,W,2.25,-2.22,2026-04-25 11:21,,,exact
2026-04-23 23:15,1379308,Wolves vs Tottenham,"('Premier League', False)",Goles Tottenham O/U 1.5,Under/No,2.00,0.7075,0.4638,0.2437,0.4150,v3.6,Goles,Visitante,W,2.20,-9.09,2026-04-25 13:44,,,exact
2026-04-23 23:15,1379308,Wolves vs Tottenham,"('Premier League', False)",Goles Tottenham O/U 2.5,Under/No,1.30,0.9054,0.7234,0.1820,0.1770,v3.6,Goles,Visitante,W,1.36,-4.41,2026-04-25 13:44,,,exact
2026-04-23 23:15,1379308,Wolves vs Tottenham,"('Premier League', False)",Goles Tottenham O/U 0.5,Under/No,5.50,0.3410,0.1717,0.1693,0.8754,v3.6,Goles,Visitante,L,6.00,-8.33,2026-04-25 13:44,,,exact
2026-04-23 23:16,1379299,Arsenal vs Newcastle,"('Premier League', False)",Goles Newcastle O/U 0.5,Over/Si,1.57,0.7232,0.5890,0.1342,0.1355,v3.6,Goles,Visitante,L,1.67,-5.99,2026-04-25 16:14,,,exact
2026-04-23 23:16,1379299,Arsenal vs Newcastle,"('Premier League', False)",Goles Newcastle O/U 1.5,Over/Si,3.75,0.3692,0.2500,0.1192,0.3847,v3.6,Goles,Visitante,L,4.33,-13.39,2026-04-25 16:14,,,exact
2026-04-23 23:16,1388584,RB Leipzig vs Union Berlin,"('Bundesliga', False)",Goles Union Berlin O/U 0.5,Over/Si,1.67,0.6911,0.5570,0.1341,0.1542,v3.6,Goles,Visitante,W,,,,,,
2026-04-23 23:16,1388584,RB Leipzig vs Union Berlin,"('Bundesliga', False)",Goles Union Berlin O/U 1.5,Over/Si,4.33,0.3288,0.2170,0.1119,0.4239,v3.6,Goles,Visitante,L,,,,,,
2026-04-23 23:16,1388586,VfL Wolfsburg vs Borussia Mönchengladbach,"('Bundesliga', False)",Goles Borussia Mönchengladbach O/U 1.5,Under/No,1.57,0.6916,0.5890,0.1026,0.0858,v3.6,Goles,Visitante,W,1.62,-3.09,2026-04-25 13:14,,,exact
2026-04-23 23:16,1388586,VfL Wolfsburg vs Borussia Mönchengladbach,"('Bundesliga', False)",BTTS,Under/No,2.38,0.4661,0.3913,0.0748,0.1094,v3.6,BTTS,Total,W,2.38,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388583,FSV Mainz 05 vs Bayern München,"('Bundesliga', False)",Goles tot. O/U 3.5,Under/No,1.80,0.6639,0.5263,0.1376,0.1950,v3.6,Goles,Total,L,1.80,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388583,FSV Mainz 05 vs Bayern München,"('Bundesliga', False)",Goles Bayern München O/U 1.5,Under/No,2.62,0.6604,0.3547,0.3057,0.7302,v3.6,Goles,Visitante,L,2.62,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388583,FSV Mainz 05 vs Bayern München,"('Bundesliga', False)",Goles Bayern München O/U 2.5,Under/No,1.50,0.8786,0.6250,0.2536,0.3179,v3.6,Goles,Visitante,L,1.53,-1.96,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388583,FSV Mainz 05 vs Bayern München,"('Bundesliga', False)",Goles Bayern München O/U 0.5,Under/No,8.00,0.3012,0.1189,0.1823,1.4096,v3.6,Goles,Visitante,L,8.00,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388583,FSV Mainz 05 vs Bayern München,"('Bundesliga', False)",BTTS,Under/No,2.62,0.4296,0.3547,0.0749,0.1256,v3.6,BTTS,Total,L,2.62,+0.00,2026-04-25 13:14,,,exact
