referee,n,avg_cards,liga_avg,factor_raw,factor,ligas
A. Taylor,68,4.103,4.268,0.9613,0.9663,"2,3,39,45"
M. Oliver,65,4.631,4.232,1.0941,1.0816,"2,3,39"
C. Kavanagh,53,4.868,4.31,1.1295,1.1089,"2,3,39,45"
S. Hooper,51,4.745,4.249,1.1166,1.0975,"39,45"
José Sánchez,51,5.118,4.846,1.0561,1.0469,"2,3,140,141,143"
D. Massa,48,4.604,4.17,1.104,1.0861,"2,3,135"
"Dario Herrera, Argentina",48,6.25,5.402,1.1569,1.1298,"11,13,128"
R. Jones,46,4.891,4.261,1.148,1.1215,"2,3,39"
F. Zwayer,46,4.717,4.151,1.1364,1.112,"2,3,78"
D. Siebert,46,4.717,4.145,1.138,1.1133,"2,3,78"
M. Mariani,46,3.87,4.17,0.928,0.9409,"2,3,135"
C. Pawson,44,4.545,4.261,1.0667,1.0543,"3,39,45"
A. Madley,44,3.841,4.252,0.9034,0.9213,"39,45"
J. Brooks,43,4.651,4.303,1.0809,1.0656,"3,39,45"
T. Stieler,41,4.244,4.157,1.0209,1.0168,"2,3,78"
S. Barrott,40,4.075,4.248,0.9592,0.9674,"39,45"
S. Jablonski,39,4.0,4.273,0.9361,0.9492,"2,3,78,848"
J. Gillett,38,4.474,4.251,1.0524,1.0415,"39,45"
S. Attwell,37,4.459,4.251,1.049,1.0386,"39,45"
T. Robinson,37,4.405,4.251,1.0363,1.0286,"39,45"
"Alejandro Hernandez, Spain",37,4.838,4.819,1.0038,1.003,"140,143"
"Miguel Angel Ortiz Arias, Spain",36,4.306,4.831,0.8912,0.9149,"140,143"
"Ricardo De Burgos Bengoetxea, Spain",36,4.028,4.806,0.838,0.8733,"140,143"
H. Osmers,36,4.111,4.202,0.9784,0.9831,"2,3,78"
S. Stegemann,36,4.556,4.224,1.0784,1.0613,"3,78"
"Davi de Oliveira Lacerda, Brazil",36,4.389,5.329,0.8237,0.862,71
P. Bankes,34,4.441,4.251,1.0448,1.0346,"39,45"
"Victor Garcia Verdura, Spain",34,3.882,4.817,0.8059,0.85,"140,143"
D. Doveri,34,3.412,4.189,0.8145,0.8567,135
D. England,34,4.588,4.247,1.0803,1.0621,"39,45"
S. Sozza,34,4.324,4.274,1.0116,1.0089,"2,3,135"
"Andres Merlos, Argentina",34,5.588,5.505,1.015,1.0116,128
"Wilton Pereira Sampaio, Brazil",34,5.471,5.293,1.0336,1.026,"11,13,71"
"Raphael Claus, Brazil",34,4.235,5.278,0.8024,0.8473,"11,13,71"
"Jesus Gil Manzano, Spain",33,4.636,4.816,0.9626,0.9713,"140,143"
"Isidro Diaz de Mera Escuderos, Spain",33,5.333,4.816,1.1073,1.0824,"140,143"
"Anderson Daronco, Brazil",33,4.848,5.262,0.9214,0.9397,"11,13,71"
"Facundo Raul Tello Figueroa, Argentina",33,5.394,5.421,0.9949,0.9961,"11,13,128"
A. Colombo,32,5.125,4.189,1.2236,1.1703,135
"Mateo Busquets Ferrer, Spain",32,5.719,4.83,1.1841,1.1403,"140,143"
"Rodrigo Jose Pereira de Lima, Brazil",32,5.375,5.329,1.0087,1.0066,71
"Sebastian Zunino, Argentina",32,5.5,5.505,0.999,0.9993,128
"Yael Falcon Perez, Argentina",32,6.188,5.445,1.1363,1.1039,"11,13,128"
