team_id,nombre_db,oddsapi_name
33,Manchester United,
34,Newcastle,
40,Liverpool,
42,Arsenal,
47,Tottenham,
50,Manchester City,
66,Aston Villa,
79,Lille,
80,Lyon,
84,Nice,
85,Paris Saint Germain,
91,Monaco,
106,Stade Brestois 29,
118,Bahia,
119,Internacional,
120,Botafogo,
121,Palmeiras,
124,Fluminense,
126,Sao Paulo,
127,Flamengo,
130,Gremio,
131,Corinthians,
133,Vasco DA Gama,
135,Cruzeiro,
136,Vitoria,
154,Fortaleza EC,
157,Bayern München,
165,Borussia Dortmund,
167,1899 Hoffenheim,
168,Bayer Leverkusen,
169,Eintracht Frankfurt,
172,VfB Stuttgart,
173,RB Leipzig,
194,Ajax,
197,PSV Eindhoven,
201,AZ Alkmaar,
209,Feyenoord,
211,Benfica,
212,FC Porto,
217,SC Braga,
228,Sporting CP,
247,Celtic,
250,Kilmarnock,
254,Heart Of Midlothian,
257,Rangers,
278,Vikingur Reykjavik,
327,Bodo/Glimt,
329,Molde,
336,Jagiellonia,
338,Wisla Krakow,
354,The New Saints,
372,IF Elfsborg,
375,Malmo FF,
394,Dinamo Minsk,
397,FC Midtjylland,
400,FC Copenhagen,
415,Twente,
434,Gimnasia L.P.,Gimnasia y Esgrima La Plata
435,River Plate,CA River Plate (ARG)
436,Racing Club,Racing Club Avellaneda
437,Rosario Central,CA Rosario Central
438,Velez Sarsfield,Velez Sarsfield
439,Godoy Cruz,Godoy Cruz Antonio Tomba
440,Belgrano Cordoba,CA Belgrano de Cordoba
441,Union Santa Fe,Union de Santa Fe
442,Defensa Y Justicia,Defensa y Justicia
443,Olimpo Bahia Blanca,
445,Huracan,CA Huracan
446,Lanus,CA Lanus
447,Chacarita Juniors,
448,Colon Santa Fe,
449,Banfield,CA Banfield
450,Estudiantes L.P.,Estudiantes de La Plata
451,Boca Juniors,Boca Juniors
452,Tigre,CA Tigre
453,Independiente,Independiente
454,Temperley,
455,Atletico Tucuman,Atletico Tucuman
456,Talleres Cordoba,CA Talleres de Cordoba
457,Newells Old Boys,Newell's Old Boys
458,Argentinos JRS,Argentinos Juniors
459,Arsenal Sarandi,
460,San Lorenzo,CA San Lorenzo de Almagro
461,San Martin S.J.,
462,Agropecuario,
463,Aldosivi,CA Aldosivi
464,All Boys,
465,Atletico DE Rafaela,
466,Atletico Mitre,
469,Deportivo Moron,
473,Independ. Rivadavia,Independiente Rivadavia
474,Sarmiento Junin,CA Sarmiento Junin
475,Santamarina,
476,Deportivo Riestra,Deportivo Riestra AFBC
478,Instituto Cordoba,Instituto AC Cordoba
479,Gimnasia Jujuy,
480,Quilmes,
483,Los Andes,
484,Nueva Chicago,
485,San Martin Tucuman,
487,Lazio,
489,AC Milan,
496,Juventus,
497,AS Roma,
499,Atalanta,
500,Bologna,
505,Inter,
529,Barcelona,FC Barcelona
530,Atletico Madrid,Atletico Madrid
531,Athletic Club,Athletic Bilbao
532,Valencia,Valencia CF
533,Villarreal,Villarreal CF
534,Las Palmas,UD Las Palmas
535,Malaga,
