fixture_id,fecha,liga_id,equipo_local_id,equipo_visitante_id,goles_local,goles_visitante,tiros_local,tiros_visitante,tiros_arco_local,tiros_arco_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,tarjetas_local,tarjetas_visitante,xg_local,xg_visitante,tiros_dentro_local,tiros_dentro_visitante,tiros_fuera_local,tiros_fuera_visitante,tiros_bloqueados_local,tiros_bloqueados_visitante,atajadas_local,atajadas_visitante,goles_prevenidos_local,goles_prevenidos_visitante,referee
1035037,2023-08-11,39,44,50,0,3,6,17,1,8,6,5,34,66,1,0,0.33,2.08,5,14,1,3,2,5,5,1,,,C. Pawson
1037952,2023-08-11,140,723,728,0,2,19,10,5,4,8,3,60,40,1,3,1.39,2.07,12,6,7,4,3,4,2,5,,,"Antonio Alberola Rojas, Spain"
1037956,2023-08-11,140,536,532,1,2,9,10,3,3,8,1,55,45,4,2,0.72,1.12,5,7,4,3,1,1,1,2,,,"Jose Maria Sanchez Martinez, Spain"
1035038,2023-08-12,39,42,65,2,1,15,6,7,2,8,3,78,22,2,2,0.83,1.18,8,4,7,2,5,1,1,5,,,M. Oliver
1035039,2023-08-12,39,35,48,1,1,14,16,5,3,10,4,63,37,1,4,1.37,1.07,5,12,9,4,3,4,1,4,,,P. Bankes
1035040,2023-08-12,39,51,1359,4,1,27,9,12,3,6,7,71,29,2,2,4.01,1.48,20,7,7,2,5,2,2,8,,,D. Coote
1035041,2023-08-12,39,45,36,0,1,19,9,9,2,10,4,41,59,0,2,2.73,1.5,14,6,5,3,4,1,1,9,,,S. Attwell
1035042,2023-08-12,39,62,52,0,1,8,24,1,8,5,5,32,68,3,0,0.51,1.89,4,17,4,7,3,8,7,1,,,J. Brooks
1035043,2023-08-12,39,34,66,5,1,17,16,13,6,6,5,53,47,4,4,3.41,1.77,14,12,3,4,2,3,5,7,,,A. Madley
1037953,2023-08-12,140,531,541,0,2,7,14,1,8,7,5,46,54,3,1,0.45,0.99,5,10,2,4,3,3,6,1,,,"Jesus Gil Manzano, Spain"
1037957,2023-08-12,140,534,798,1,1,5,12,2,2,3,6,69,31,3,2,0.92,1.61,2,8,3,4,2,2,1,1,,,"Victor Garcia Verdura, Spain"
1037960,2023-08-12,140,548,547,1,1,15,6,2,1,4,1,48,52,2,5,0.99,1.15,7,5,8,1,2,3,0,1,,,"Francisco Hernandez Maeso, Spain"
1035044,2023-08-13,39,55,47,2,2,11,18,6,6,3,6,30,70,1,4,2.22,1.27,9,12,2,6,3,6,4,4,,,R. Jones
1035045,2023-08-13,39,49,40,1,1,10,13,4,1,4,4,65,35,3,3,1.35,1.28,9,8,1,5,2,5,0,4,,,A. Taylor
1037955,2023-08-13,140,538,727,0,2,11,11,1,5,7,2,52,48,1,1,0.96,0.95,8,8,3,3,3,1,3,0,,,"Pablo Gonzales Fuertes, Spain"
1037958,2023-08-13,140,546,529,0,0,5,14,2,4,3,4,25,75,9,3,0.57,1.49,3,6,2,8,0,3,3,2,,,"Cesar Soto Grado, Spain"
1037959,2023-08-13,140,533,543,1,2,18,12,5,5,9,4,63,37,1,3,0.91,1.05,12,6,6,6,7,5,3,4,,,"Miguel Angel Ortiz Arias, Spain"
1035046,2023-08-14,39,33,39,1,0,15,23,3,6,8,7,51,49,2,3,2.21,2.35,12,17,3,6,8,10,6,2,,,S. Hooper
1037954,2023-08-14,140,530,715,3,1,14,7,6,4,3,3,45,55,3,1,2.42,0.94,11,5,3,2,2,3,3,3,,,"Juan Luis Pulido Santana, Spain"
1037961,2023-08-14,140,724,542,1,0,12,10,3,2,2,4,44,56,4,2,0.66,0.25,7,4,5,6,3,3,2,2,,,"Isidro Diaz de Mera Escuderos, Spain"
1035053,2023-08-18,39,65,62,2,1,16,7,4,3,6,7,50,50,2,3,1.39,0.5,9,4,7,3,5,1,2,2,,,P. Bankes
1037964,2023-08-18,140,798,533,0,1,8,15,1,3,6,5,40,60,2,4,0.38,1.95,7,11,1,4,3,5,3,1,,,"Javier Alberola Rojas, Spain"
1037971,2023-08-18,140,532,534,1,0,9,7,4,1,6,4,39,61,0,0,1.54,0.52,8,2,1,5,3,2,1,3,,,"Javier Iglesias Villanueva, Spain"
1048881,2023-08-18,78,162,157,0,4,6,25,1,10,0,6,28,72,2,1,0.55,2.85,3,14,3,11,0,8,6,1,,,F. Zwayer
